word,pronunciation
aardvark,ˈɑrdˌvɑrk
aaron,ˈɛrən
aback,əˈbæk
abacus,ˈæbəkəs
abalone,ˌæbəˈloʊni
abandon,əˈbændən
abandoned,əˈbændənd
abandonment,əˈbændənmənt
abandons,əˈbændənz
abash,əˈbæʃ
abashed,əˈbæʃt
abate,əˈbeɪt
abated,əˈbeɪtɪd
abatement,əˈbeɪtmənt
abates,əˈbeɪts
abbe,ˈæbi
abbey,ˈæbi
abbot,ˈæbət
abbreviate,əˈbriviˌeɪt
abbreviated,əˈbriviˌeɪtɪd
abbreviates,əˈbriviˌeɪts
abbreviating,əˈbriviˌeɪtɪŋ
abbreviation,əˌbriviˈeɪʃən
abbreviations,əˌbriviˈeɪʃənz
abdicate,ˈæbdəˌkeɪt
abdicated,ˈæbdəˌkeɪtəd
abdicates,ˈæbdəˌkeɪts
abdicating,ˈæbdɪˌkeɪtɪŋ
abdication,ˌæbdɪˈkeɪʃən
abdomen,ˈæbdəmən
abdominal,əbˈdɑmənəl
abduct,æbˈdəkt
abducted,əbˈdəktɪd
abducting,əbˈdəktɪŋ
abduction,əbˈdəkʃən
abductions,əbˈdəkʃənz
abductor,əbˈdəktər
abductors,əbˈdəktərz
abducts,æbˈdəkts
abe,eɪb
abel,ˈeɪbəl
abele,əˈbɛl
aberdeen,ˈæbərˌdin
aberrant,æˈbɛrənt
aberration,ˌæbərˈeɪʃən
aberrations,ˌæbərˈeɪʃənz
abet,əˈbɛt
abetted,əˈbɛtɪd
abetting,əˈbɛtɪŋ
abeyance,əˈbeɪəns
abhor,æˈbhɔr
abhorred,əˈbhɔrd
abhorrence,əˈbhɔrəns
abhorrent,æˈbhɔrənt
abhors,əˈbhɔrz
abide,əˈbaɪd
abided,əˈbaɪdɪd
abides,əˈbaɪdz
abiding,əˈbaɪdɪŋ
abidjan,æbɪˈʤɑn
abilities,əˈbɪləˌtiz
ability,əˈbɪləˌti
abject,ˈæbʤɛkt
ablaze,əˈbleɪz
able,ˈeɪbəl
abler,ˈeɪbələr
ablest,ˈeɪbəlst
abloom,əˈblum
ably,ˈeɪbli
abnegation,ˌæbnɛˈgeɪʃən
abnormal,æbˈnɔrməl
abnormalities,ˌæbnɔrˈmælətiz
abnormality,ˌæbnɔrˈmæləti
abnormally,æbˈnɔrməli
aboard,əˈbɔrd
abode,əˈboʊd
abolish,əˈbɑlɪʃ
abolished,əˈbɑlɪʃt
abolishes,əˈbɑlɪʃɪz
abolishing,əˈbɑlɪʃɪŋ
abolition,ˌæbəˈlɪʃən
abolitionist,ˌæbəˈlɪʃənəst
abolitionists,ˌæbəˈlɪʃənəsts
abominable,əˈbɑmənəbəl
abomination,əˌbɑməˈneɪʃən
abominations,əˌbɑməˈneɪʃənz
aboriginal,ˌæbərˈɪʤənəl
aborigines,ˌæbərˈɪʤəniz
abort,əˈbɔrt
aborted,əˈbɔrtɪd
aborting,əˈbɔrtɪŋ
abortion,əˈbɔrʃən
abortionist,əˈbɔrʃənɪst
abortionists,əˈbɔrʃənɪsts
abortions,əˈbɔrʃənz
abortive,əˈbɔrtɪv
aborts,əˈbɔrts
abound,əˈbaʊnd
abounded,əˈbaʊndɪd
abounding,əˈbaʊndɪŋ
